id	screen_name	tweet_text	hashtag_indices	user_mentions_indices	url_indices
417117391630630912	meltezzz	I mean honestly,  I'd rather be asleep but I guess sitting in a cold room drinking a pint of milk is good too. #Sarcasm	[[111, 119]]	[]	[]
413880948397473792	aP_Abstract	@csm_ovoxo @yanieSdiaz @MBxdette loll hahahahahahaha funny as he'll #funny #sarcasm	[[68, 74], [75, 83]]	[[11, 22]]	[]
402979003813736449	RockChalkFamily	@Trevorturner3 But they have to remind everyone how awesome and beautiful they are...it just wouldn't be right #sarcasm	[[111, 119]]	[[0, 14]]	[]
413741013501755392	ElmaAvil	Why yes Macy's, I would love to be sprayed with men's cologne upon entering. #sarcasm	[[77, 85]]	[]	[]
404613054383407104	BV411	@Natalie_Pierre @FSU_Recruiting But #Bama is better, right? #sarcasm, #noles, #fearthespear, #Pasadenabound	[[36, 41], [60, 68], [70, 76], [78, 91], [93, 107]]	[[0, 15], [16, 31]]	[]
408232136215625728	Headz1998	Christmas Cakes.....yay....... #Sarcasm #ImSorryImFluent #NotSorry #ChristmasCake… http://t.co/DMS2MZdPbP	[[31, 39], [40, 56], [57, 66], [67, 81]]	[]	[[83, 105]]
409780585264340993	Gazz1975	Nice to see Leona Lewis do well in the album charts this week.... No25, well done love #Sarcasm	[[87, 95]]	[]	[]
408111537011036160	NoLegsLee	Well I'd love to be sleeping right now. But nooooooo lets just stay awake all might. That's what I wanted to do. #sarcasm #cantsleep #blah	[[113, 121], [122, 132], [133, 138]]	[]	[]
409390010253590528	inchara_sb	@soumyabhatt4 hehe who knows..  he is so fair..  he just might!!!  #SalmanIsAlwaysFair #Sarcasm	[[67, 86], [87, 95]]	[[0, 13]]	[]
420029245994565632	itsmelaicodave	Galing ko na sa Solid Mensuration 😭😭😭 #sarcasm @ PUP College of Engineering and Architecture http://t.co/86E32IqpMn	[[38, 46]]	[]	[[93, 115]]
417585152139616256	MattLMcDowell	Wow. It's pure roastin' here in Glasgow. Who needs to go to Puerto Rico on holiday? #sarcasm	[[84, 92]]	[]	[]
410368672121630721	APearce41	I love how the freezing wind cuts right thru my apt's closed/locked windows &amp; blows my blinds so hard they knock stuff over #sarcasm #brrrr	[[128, 136], [137, 143]]	[]	[]
412594273092005888	BitterPackerFan	@Schottey but win-loss record is all we need to judge a QB by! #sarcasm Can't wait to read later	[[63, 71]]	[[0, 9]]	[]
408449894576173056	myventspace	Night, Tweoples. If I die in my sleep, my tombstone should read: Somataform, my ass. OR: So, is THIS all in my head, too? #spoonie #sarcasm	[[122, 130], [131, 139]]	[]	[]
406943606360911874	Faithykristy04	what a true friend you are! always knew you were trustyworthy #sarcasm	[[62, 70]]	[]	[]
400109119849656320	Barrilleaux28	Great. I have a night class next semester. Oh the joy. #sarcasm	[[55, 63]]	[]	[]
412071054404628481	NASPAAJB	"""@CauseWereGuys: http://t.co/2J5ETiGWxA"" man, look at all this global warming... #Sarcasm"	[[81, 89]]	[[1, 15]]	[[17, 39]]
403005765608554496	StillChameleon	"@Tom_Francois But don't you dare call it ""hate crimes"" #sarcasm #LiberalLogic"	[[55, 63], [64, 77]]	[[0, 13]]	[]
415303596456964096	nemrick2	@digs5567 @JFranklin17 and I don't even have to split wood to like it and so what if I have a pedicure lined up for Thursday! #sarcasm	[[126, 134]]	[[0, 9], [10, 22]]	[]
419556899252895745	DanielleEWrites	I love when I go out for two things and come back with 15. #sarcasm	[[59, 67]]	[]	[]
400769274576248832	TyBaird2	Its always a good day when you think you failed a test. #sarcasm	[[56, 64]]	[]	[]
411348816583856129	michaelkrik	Peyton obviously can't finish games. He just throws interceptions when the game is on the line. Just like #Romo. #firepeytonmanning #sarcasm	[[106, 111], [113, 131], [132, 140]]	[]	[]
410627796239941632	briley_len	The roads look really bad to me😏 I think we need another day without school👌  #sarcasm	[[78, 86]]	[]	[]
400387878775033856	A11Hson	@peta @brokep luckily it doesn't look like that once it's on the plate... #sarcasm #vegetarian	[[74, 82], [83, 94]]	[[0, 5], [6, 13]]	[]
405019681515659264	iamJackFindell	@Agent00Beast well done young fuzzblob, you have been gifted with the ability to read! Think this deserves a round of applause! #sarcasm	[[128, 136]]	[]	[]
406286368696844288	ErinaceousCat	Today's Lesson: don't joke with you mom about #tofurkys, she might take you literally. #veganproblems #Thanksgiving #sarcasm #wordsofwisdom	[[46, 55], [87, 101], [102, 115], [116, 124], [125, 139]]	[]	[]
401798633730760704	AriannaTinoosh	I'm going to have such a wonderful weekend. Yay. So stoked. #JK #Sarcasm #totheMAX	[[60, 63], [64, 72], [73, 82]]	[]	[]
417424468899008513	hipsterboyluke	I'll stop being a sarcastic bastard when you stop being a stupid fuck. #sarcasm	[[71, 79]]	[]	[]
412369306182111234	sophialou8	@laurrlopezz really? You sounded soooo interested #sarcasm	[[50, 58]]	[[0, 12]]	[]
409732501163098112	SmithJerik	@Espngreeny You're right, how dare they feed a hard working, hungry college kid. #sarcasm I agree with you your point.	[[81, 89]]	[[0, 11]]	[]
413469107468910592	Emporio86	Working away from work #SQL #ITproblems I just love being on call #Sarcasm http://t.co/M9H0g7Q6nH	[[23, 27], [28, 39], [66, 74]]	[]	[[75, 97]]
400295006600065024	Razarumi	oh yes. All previous tweets were SARCASTIC RT @furqzz: @Razarumi @Razarumi Please mention #Sarcasm if you want exoneration from fatwas.	[[90, 98]]	[[55, 64], [65, 74]]	[]
412045740035571712	Al_Pedrique	@ParrishWalton It's like he doesn't even understand modern college football like you. #sarcasm	[[86, 94]]	[[0, 14]]	[]
415632106241687552	aschroederja	Please, keep talking. I always yawn when I am interested. #sarcasm	[[58, 66]]	[]	[]
418521631179280384	monarrez_ivan	Spending all day fixing a broken water pipe. Great way to start the year! #sarcasm	[[74, 82]]	[]	[]
399811180530630656	wit_twitt	"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!"""	[[15, 23], [46, 50], [112, 118], [119, 125], [126, 132]]	[]	[]
402534780560240640	ElPapiChulo35	By the looks of it, @Platinum_Bud12 is having a great day. #sarcasm	[[59, 67]]	[[20, 35]]	[]
420375052828151809	debovidge	"""I'm praying for you"" really you are praying for me now?  Never thought to pray for me before I was diagnosed with cancer?#sarcasm"	[[122, 130]]	[]	[]
408793898954158082	wluper	@lgc_com Man, sure wish we still had McBain. #sarcasm #sekeraistheman	[[45, 53], [54, 69]]	[[0, 8]]	[]
409720467662983168	generalgynsing	@FaithVictoria3 the first quality opponent they played in 2 years and they lose #shocked #sarcasm	[[80, 88], [89, 97]]	[[0, 15]]	[]
400543431371812864	fayekeegs	Its so cold outside... Why didn't anyone warn me #sarcasm	[[49, 57]]	[]	[]
408345847077015553	adamrobertjones	“@hannahhepton: @adamrobertjones all done and dusted.... except I still have no voice D:” eh... What? Speak LOUDER! #sarcasm	[[116, 124]]	[[1, 14], [16, 32]]	[]
419481595125301249	mackieneaves	Nothing beats a 9 hour shift running off of 5 hours of sleep #sarcasm #ithinkimdead	[[61, 69], [70, 83]]	[]	[]
404705722253864961	penasplace	@thausman @BadassTeachersA @WaBATs_ Headed by Sens. Litzow and Dammeier. I can hardly contain my enthusiasm. #sarcasm	[[109, 117]]	[[0, 9], [10, 26], [27, 35]]	[]
406808176265162752	Crystal911989	Hearing Alex scream mamma everytime I close my eyes made for an awesome night of sleep. #Sarcasm #IMissMyBoys	[[88, 96], [97, 109]]	[]	[]
402113855305695232	OnkarUpadhye	"@RichardDawkins  ""Form eating to shitting, There is a rule for everything"" #God #Religion #Stupidity #Sarcasm"	[[75, 79], [80, 89], [90, 100], [101, 109]]	[[0, 15]]	[]
400190541654028288	herudiegosantos	"Kapten sejati.... @IndoStevieG: ""106 caps for England is not bad for a player whose not a top top Player"" smile Gerrard #sarcasm"""	[[120, 128]]	[[18, 30]]	[]
413021883332702209	castawaylanes	@Luke5SOS no really? #sarcasm Anyway Ilysm Luke and if you followed me it would make me being sick better (-:	[[21, 29]]	[[0, 9]]	[]
418184377160318978	YallFreddy4this	"""@JoyceMeyer: God gave us our mouth for one reason - to glorify Him.""And for something silly, like food so we can grow, and EVOLVE. #Sarcasm"	[[132, 140]]	[[1, 12]]	[]
413165476127076352	Sportsmaniac432	@GottliebShow @MandyConteTyler @davidwlowe 1 true non conference road game this year against USF for your Pokes is impressive. #Sarcasm	[[127, 135]]	[[0, 13], [14, 30], [31, 42]]	[]
414423414741278721	Joel_DiPippa	Just a little water in the backyard. #sarcasm #ARwx #cvss http://t.co/TiVg148m5J	[[37, 45], [46, 51], [52, 57]]	[]	[[58, 80]]
416054512495755265	godVeveryone	@WhiteHouse Just ignore it..#why pay attention to on going issues we engage thru #policy..#sarcasm	[[28, 32], [81, 88], [90, 98]]	[[0, 11]]	[]
400285710626078720	SteveOff	I don't have any windows. Did it snow today? #Sarcasm #ShutTheFuckUpItsJustSnow	[[45, 53], [54, 79]]	[]	[]
419646854280654848	PatsFanGirl12	Good thing these offenses are so explosive or this would be boring #Sarcasm @NFLFemale @gridirongirlorg @GridironBeautie	[[67, 75]]	[[76, 86], [87, 103], [104, 120]]	[]
418927040788566018	khoekstra	@NStauskas11 @zirvin21 and @umichbball need to make these games closer and more exciting. #Yawn #sarcasm	[[90, 95], [96, 104]]	[[0, 12], [13, 22], [27, 38]]	[]
419050964486590464	vivalaelliot	Yay I got lord bendtner thanks so much @EASPORTSFIFA #sarcasm http://t.co/VWGd0DeTus	[[53, 61]]	[[39, 52]]	[[62, 84]]
